"Drug Name","Manufacturer","Dosage Form","Strength","Package Size","Units Sold","Revenue","Sale Date","Region","Sales Representative","Customer Type","Month","Quarter","Revenue Category","Target Multiplier","Target Revenue","Achievement Percentage","Performance Status"
"Drug B","Company W","Tablet","100 mg/ml","50 g","1500","43833","2024-02-07 00:00:00","South America","Susan Hernandez","Clinics","Feb","Q1","High","1.1","48216.3","0.9091","Below Target"
"Drug B","Company X","Cream","500 mg","100 ml","1194","48717","2023-08-08 00:00:00","South America","Jackie Wagner","Clinics","Aug","Q3","High","1.1","53588.7","0.9091","Below Target"
"Drug E","Company X","Capsule","50 mg","60","618","8744","2024-06-15 00:00:00","Africa","Mariah Mccoy","Hospitals","Jun","Q2","Low","0.9","7869.6","1.1111","Achieved"
"Drug E","Company X","Injection","10 mg","100 ml","1455","25321","2024-07-15 00:00:00","Asia","Courtney Doyle","Pharmacy","Jul","Q3","Medium","0.95","24054.95","1.0526","Achieved"
"Drug C","Company V","Tablet","100 mg/ml","50 g","130","13669","2023-08-13 00:00:00","South America","Dawn Torres","Clinics","Aug","Q3","Low","1.1","15035.9","0.9091","Below Target"
"Drug B","Company V","Capsule","100 mg/ml","10 ml","619","7552","2023-12-05 00:00:00","Europe","Jessica Faulkner","Hospitals","Dec","Q4","Low","1.1","8307.2","0.9091","Below Target"
"Drug C","Company X","Cream","500 mg","30","1779","48563","2023-08-08 00:00:00","North America","Alicia Howard","Hospitals","Aug","Q3","High","1.2","58275.6","0.8333","Below Target"
"Drug B","Company X","Tablet","500 mg","10 ml","1727","13672","2023-12-30 00:00:00","Asia","David Hill","Online Pharmacy","Dec","Q4","Low","0.95","12988.4","1.0526","Achieved"
"Drug A","Company V","Capsule","500 mg","50 g","451","45835","2023-11-14 00:00:00","Asia","Matthew Johnson","Supermarkets","Nov","Q4","High","0.95","43543.25","1.0526","Achieved"
"Drug C","Company X","Cream","10 mg","10 ml","1006","31716","2024-05-23 00:00:00","Asia","Kimberly Murphy","Supermarkets","May","Q2","Medium","0.95","30130.2","1.0526","Achieved"
